,Time,Time Code,Country Name,Country Code,"Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],Domestic general government health expenditure (% of current health expenditure) [SH.XPD.GHED.CH.ZS],Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],"Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Domestic private health expenditure (% of current health expenditure) [SH.XPD.PVTD.CH.ZS],Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","External health expenditure per capita, PPP (current international $) [SH.XPD.EHEX.PP.CD]",External health expenditure per capita (current US$) [SH.XPD.EHEX.PC.CD],Population density (people per sq. km of land area) [EN.POP.DNST],Land area (sq. km) [AG.LND.TOTL.K2],Urban land area (sq. km) [AG.LND.TOTL.UR.K2],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Population in largest city [EN.URB.LCTY],"Age dependency ratio, old (% of working-age population) [SP.POP.DPND.OL]",Age dependency ratio (% of working-age population) [SP.POP.DPND],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food production index (2004-2006 = 100) [AG.PRD.FOOD.XD]
42,2018.0,YR2018,Colombia,COL,33.7178966459882,7.22628086805344,4.89939339458942,17.4857154488564,67.7996516227722,311.334381103516,704.546752929688,28.7775248289108,147.863204956055,334.613067626953,0.0,0.0,44.7487021180712,1109500.0,36132.13672,26.3666682749363,10574409.0,12.3868276378251,46.1047242838133,5226.94263923089,12.537519306407098,116.67
43,2018.0,YR2018,Comoros,COM,68.8168512798851,7.3843739926815,0.941362418234348,3.36501933634281,12.7480328083038,7.49086236953735,15.7029504776001,76.1388003826141,44.739860534668,93.7873077392578,13.689136505127001,6.5302019119262695,447.24447754022697,1861.0000610351601,196.407196,,,5.23371677955362,74.0505680594387,1234.64378731151,31.4490161672408,108.68
44,2018.0,YR2018,"Congo, Dem. Rep.",COD,90.84770965566959,3.97872291505337,0.39584343321621396,3.32910045981407,9.949006885290151,1.9332556724548302,3.71418595314026,47.57792353630071,9.24517345428467,17.7619018554688,15.856146812439,8.25321674346924,37.0825923557045,2267050.0,9061.722656,35.239241331083704,13171256.0,5.9387002148571595,96.7864098705267,347.00580769106904,,108.46
45,2018.0,YR2018,"Congo, Rep.",COG,75.1753736235599,2.9302792623639102,1.19367139413953,3.3984653651714303,40.7357543706894,20.3612461090088,67.1432342529297,51.7288684844971,25.856012344360398,85.2627639770508,12.420286178588901,3.76646304130554,15.3568462664715,341500.0,1087.161865,63.5363623359297,2229693.0,4.82715941752411,80.002533041084,684.9708381121201,13.472810342420301,138.11
46,2018.0,YR2018,Costa Rica,CRI,30.849357212221197,7.32879638671875,5.38734458386898,26.907071471214298,73.509269952774,638.8526611328131,927.807739257813,24.6952831745148,229.759735107422,333.680816650391,0.675759196281433,0.46530175209045394,97.91306306306309,51060.0,4051.562988,34.2298205294467,1357745.0,13.8152495859236,44.664606798144796,10326.780534065401,12.912168116027802,131.03
47,2018.0,YR2018,Cote d'Ivoire,CIV,75.9671594635485,4.45303432643414,1.2673424556851398,5.095548555254941,28.460201621055603,19.850774765014602,49.9935111999512,58.457297086715705,40.7735176086426,102.686737060547,22.9808731079102,9.1249475479126,78.8340534591195,318000.0,3466.161621,38.65524830352221,4920776.0,5.17886172634649,81.146021189895,1402.27537854933,21.0485712508241,129.74
48,2018.0,YR2018,Croatia,HRV,22.311421522167603,6.78913369774818,5.62324300408363,12.4075815081596,82.82710313797,747.2161254882809,1468.09521484375,17.1688690781593,154.88717651367202,304.315063476563,0.0,0.0,73.0771979985704,55960.0,5302.795897999999,29.439610510346398,685587.0,31.4338959847151,53.74531750688271,10777.1676244751,12.381958390394301,128.23
49,2018.0,YR2018,Cuba,CUB,23.6306692043405,11.7113269865513,10.4748606681824,15.874963998794598,89.4421339035034,883.3546752929691,2223.36206054688,10.482663661241501,103.52961730956999,260.57916259765597,1.8693776130676298,0.742714643478394,108.99959623149401,104020.0,9572.447266,24.4599356510304,2136468.0,22.1365160192804,45.7671852236209,6621.907815094921,,109.99
50,2018.0,YR2018,Curacao,CUW,29.3091558939793,,,,,,,,,,,,360.754504504505,444.0,,,,25.8952418877051,55.20439778168429,,,
51,2018.0,YR2018,Cyprus,CYP,24.1575786762046,6.68456926941872,2.83386185765266,7.581724226474759,42.40702688694,734.135986328125,1030.25085449219,57.1740925312042,989.7782592773441,1389.00695800781,10.1763763427734,7.25148010253906,128.708333333333,9240.0,2280.400391,,,19.741619951189197,43.8991986273938,26327.562243961,12.9365823213853,79.14
